Household_ID,Region,Country,Energy_Source,Monthly_Usage_kWh,Year,Household_Size,Income_Level,Urban_Rural,Adoption_Year,Subsidy_Received,Cost_Savings_USD
H02108,Europe,Italy,Solar,339.85,2023,3,Low,Rural,2020,Yes,415.95
H03045,South America,Chile,Biomass,1068.06,2020,1,High,Urban,2015,No,56.41
H00417,Africa,South Africa,Solar,1497.34,2023,5,Low,Rural,2021,No,235.99
H00978,Asia,China,Wind,662.8,2022,1,Low,Rural,2014,No,346.03
H02418,South America,Brazil,Wind,1032.68,2023,8,High,Urban,2019,No,246.73
H00506,South America,Colombia,Hydro,514.99,2022,3,Middle,Urban,2017,Yes,231.11
H04153,Africa,Ghana,Hydro,1464.6,2023,7,Middle,Urban,2022,No,414.96
H04256,Australia,Australia,Biomass,452.94,2020,6,High,Urban,2017,No,388.41
H03942,Australia,Australia,Solar,997.6,2024,7,High,Rural,2012,No,399.65
H00415,Asia,Japan,Solar,973.66,2023,5,Low,Urban,2018,Yes,176.22
H04149,Africa,Egypt,Hydro,777.98,2022,8,Middle,Urban,2013,Yes,29.8
H01184,South America,Peru,Hydro,650.14,2022,5,Middle,Urban,2013,Yes,67.96
H00486,Europe,France,Wind,770.93,2023,4,Low,Rural,2011,No,467.96
H00894,Australia,Australia,Geothermal,857.44,2022,6,Middle,Urban,2012,Yes,317.47
H00806,South America,Argentina,Biomass,437.07,2021,1,High,Rural,2010,Yes,160.28
H00556,Asia,South Korea,Solar,545.68,2021,8,Middle,Rural,2021,No,300.24
H03826,Asia,China,Geothermal,1119.18,2023,2,Middle,Rural,2019,Yes,427.27
H01198,Australia,Australia,Geothermal,1041.18,2024,5,Low,Urban,2019,Yes,226.54
H04254,Africa,South Africa,Biomass,129.37,2021,2,Middle,Urban,2012,Yes,230.13
H04059,Europe,UK,Hydro,1233.7,2024,4,Low,Urban,2010,No,90.77
H01294,North America,Canada,Solar,990.28,2024,6,High,Urban,2016,No,448.87
H02222,Asia,Japan,Geothermal,417.55,2020,5,Middle,Rural,2012,No,239.94
H03505,Africa,Egypt,Solar,173.88,2022,6,High,Rural,2021,Yes,163.85
H03655,Europe,UK,Geothermal,1067.66,2021,2,High,Urban,2014,No,235.07
H04759,South America,Colombia,Hydro,1154.88,2024,6,Low,Rural,2011,Yes,261.48
H03007,Europe,France,Solar,975.34,2023,7,High,Urban,2010,No,362.92
H02094,South America,Brazil,Wind,626.09,2024,7,Middle,Rural,2013,Yes,90.25
H02188,South America,Chile,Hydro,53.61,2024,2,Middle,Urban,2014,Yes,39.22
H03037,North America,USA,Wind,929.49,2021,7,High,Rural,2018,Yes,87.19
H03919,Australia,New Zealand,Biomass,416.11,2020,4,Middle,Rural,2020,No,159.74
H01273,North America,Canada,Wind,894.85,2022,2,Middle,Rural,2020,Yes,498.9
H00291,Africa,South Africa,Wind,1209.64,2020,2,Middle,Rural,2010,No,28.4
H04828,Asia,Indonesia,Wind,615.12,2023,3,Low,Rural,2023,No,358.32
H00253,Europe,Spain,Geothermal,542.9,2024,8,High,Urban,2014,Yes,188.29
H03246,North America,Mexico,Wind,478.87,2022,4,Middle,Urban,2011,Yes,141.9
H00351,North America,USA,Wind,589.55,2022,8,Middle,Urban,2015,No,215.86
H01188,North America,Canada,Wind,105.55,2024,2,Low,Rural,2017,No,440.28
H01962,South America,Chile,Geothermal,289.49,2020,5,High,Rural,2017,No,247.73
H00423,South America,Brazil,Solar,117.21,2020,7,Low,Urban,2014,Yes,335.33
H00091,Australia,New Zealand,Solar,402.77,2022,1,Low,Urban,2011,No,12.86
H03730,Africa,Nigeria,Hydro,742.93,2021,7,High,Urban,2017,Yes,259.85
H02237,North America,Canada,Solar,1488.85,2020,2,Middle,Urban,2015,No,367.18
H00671,Africa,Nigeria,Hydro,93.69,2023,3,Middle,Rural,2011,No,88.63
H03041,South America,Colombia,Solar,826.07,2022,4,Middle,Urban,2014,Yes,343.09
H00027,South America,Colombia,Wind,1389.49,2021,7,High,Urban,2014,Yes,168.62
H00430,Africa,Ghana,Hydro,516.85,2022,6,Middle,Urban,2013,Yes,498.33
H00684,Europe,Italy,Hydro,972.9,2021,8,Low,Rural,2015,Yes,105.19
H04464,Australia,New Zealand,Solar,1328.57,2020,8,High,Rural,2019,No,181.35
H03946,Africa,Nigeria,Hydro,922.15,2022,8,Low,Rural,2018,Yes,229.09
H03524,Asia,China,Hydro,1108.74,2024,8,High,Urban,2012,Yes,323.78
H01542,Asia,Indonesia,Wind,948.93,2024,7,High,Rural,2024,No,354.47
H02032,Europe,Germany,Biomass,115.59,2021,7,Low,Urban,2015,No,462.45
H02233,South America,Argentina,Solar,139.39,2023,5,High,Urban,2023,No,199.14
H04121,North America,USA,Solar,1446.24,2021,7,High,Rural,2011,Yes,183.01
H03236,Australia,Australia,Biomass,408.96,2021,7,Middle,Urban,2016,No,173.41
H00255,Australia,Australia,Geothermal,618.36,2020,5,High,Urban,2012,No,338.2
H01030,South America,Peru,Wind,503.53,2022,1,Middle,Rural,2021,No,248.47
H04393,Africa,Nigeria,Wind,260.84,2021,7,Middle,Urban,2015,Yes,60.73
H03801,South America,Brazil,Wind,816.88,2024,8,High,Rural,2024,No,46.98
H04311,Europe,France,Biomass,1440.23,2021,5,High,Urban,2020,No,380.51
H02510,Europe,Spain,Solar,589.43,2021,3,Middle,Rural,2016,No,100.27
H02293,Europe,Spain,Biomass,62.63,2022,4,High,Urban,2014,Yes,179.67
H01324,Africa,Nigeria,Wind,1443.35,2020,1,High,Urban,2019,No,399.21
H01551,South America,Colombia,Hydro,70.26,2022,3,High,Rural,2010,Yes,275.99
H04648,Australia,New Zealand,Wind,551.06,2022,5,Middle,Rural,2013,Yes,387.12
H00316,North America,Canada,Hydro,470.67,2021,7,Low,Rural,2018,No,133.63
H01243,Europe,UK,Wind,518.26,2022,3,Low,Urban,2018,No,108.91
H02451,Asia,Japan,Biomass,979.51,2022,8,Middle,Rural,2018,No,378.39
H01579,Asia,China,Hydro,1202.47,2022,8,Middle,Urban,2017,No,19.79
H04626,Africa,Ghana,Biomass,1343.68,2024,5,High,Rural,2017,Yes,367.06
H03117,Australia,New Zealand,Solar,696.89,2023,7,Low,Urban,2015,No,480.18
H00070,Europe,UK,Hydro,462.27,2021,1,Middle,Rural,2017,Yes,267.83
H00860,Europe,Italy,Biomass,968.32,2021,8,High,Rural,2016,No,165.37
H02754,Australia,New Zealand,Geothermal,973.53,2024,6,Middle,Urban,2010,Yes,416.97
H01633,Africa,Kenya,Hydro,215.22,2021,7,Middle,Urban,2012,Yes,316.89
H01651,North America,Mexico,Biomass,190.46,2020,2,Low,Urban,2012,No,391.05
H03861,Asia,Indonesia,Solar,735.67,2023,3,High,Urban,2017,Yes,244.15
H03107,Europe,France,Wind,1262.01,2023,8,Middle,Urban,2013,No,467.2
H01075,Asia,South Korea,Wind,1483.65,2020,7,Middle,Urban,2016,Yes,447.13
H04002,Australia,Australia,Geothermal,455.48,2022,3,Low,Urban,2014,No,278.97
H00788,Europe,France,Hydro,1027.3,2023,3,Middle,Urban,2012,Yes,136.71
H02606,Africa,South Africa,Geothermal,313.78,2023,8,High,Urban,2011,No,171.08
H03631,Europe,Germany,Hydro,188.49,2024,2,Middle,Rural,2022,No,484.19
H02122,Australia,New Zealand,Geothermal,841.26,2021,4,Middle,Rural,2011,Yes,388.6
H01875,Africa,Egypt,Wind,978.88,2021,8,Middle,Urban,2010,Yes,367.33
H00812,Australia,Australia,Biomass,1263.52,2022,4,Middle,Rural,2015,Yes,90.95
H00388,Africa,Egypt,Solar,1016.41,2021,7,Middle,Rural,2020,No,226.29
H02883,North America,Mexico,Geothermal,194.84,2020,5,Low,Urban,2012,Yes,29.87
H01176,Australia,Australia,Geothermal,360.11,2023,2,High,Urban,2020,No,29.0
H03198,North America,Mexico,Hydro,1337.94,2021,3,High,Urban,2013,Yes,119.19
H02624,North America,Mexico,Hydro,1298.34,2020,5,Middle,Urban,2011,Yes,224.2
H01352,Europe,UK,Biomass,525.54,2023,8,High,Rural,2022,Yes,61.35
H00411,Europe,Spain,Biomass,402.64,2023,4,Middle,Rural,2014,Yes,192.03
H04213,South America,Brazil,Solar,1069.88,2024,7,Middle,Rural,2022,No,249.05
H00110,Africa,Kenya,Geothermal,1326.24,2024,7,High,Rural,2012,Yes,31.21
H04996,Africa,Ghana,Wind,396.8,2021,2,Low,Urban,2010,No,314.17
H03430,Europe,Germany,Hydro,1150.47,2020,5,Middle,Urban,2020,Yes,186.67
H02810,Africa,Egypt,Wind,1430.71,2021,8,Middle,Rural,2013,No,285.73
H02595,Australia,New Zealand,Solar,899.32,2020,2,Middle,Urban,2016,Yes,265.92
H02837,Asia,India,Hydro,917.22,2020,7,Low,Rural,2018,No,488.18
H02373,North America,Canada,Geothermal,423.94,2023,5,High,Rural,2015,Yes,278.61
H01236,South America,Chile,Biomass,1349.0,2020,4,Middle,Urban,2018,No,340.17
H02147,South America,Argentina,Wind,1403.61,2021,3,High,Urban,2011,Yes,444.74
H04976,North America,Mexico,Wind,1277.08,2021,7,Middle,Rural,2015,No,118.23
H00600,Africa,Kenya,Wind,186.02,2022,5,Low,Rural,2010,No,48.37
H01435,Africa,Nigeria,Hydro,84.85,2021,3,High,Rural,2019,Yes,110.31
H04997,North America,Canada,Hydro,650.63,2024,2,Low,Urban,2024,Yes,424.09
H00539,Africa,Kenya,Wind,1335.43,2020,7,High,Rural,2010,No,194.18
H00722,Africa,South Africa,Geothermal,887.04,2021,2,Low,Rural,2016,Yes,268.71
H04411,South America,Colombia,Biomass,1445.55,2022,2,Low,Urban,2011,Yes,439.45
H01873,Africa,South Africa,Hydro,1325.18,2021,6,High,Rural,2017,No,180.7
H02846,Africa,Ghana,Solar,805.86,2020,7,High,Urban,2011,Yes,51.4
H02054,Asia,South Korea,Biomass,602.96,2024,6,Middle,Rural,2019,No,22.03
H02908,Asia,China,Hydro,1278.4,2022,6,Middle,Rural,2011,Yes,422.69
H02255,North America,Canada,Geothermal,1416.64,2023,3,Middle,Rural,2016,No,110.43
H03913,Europe,Italy,Biomass,81.89,2020,2,Middle,Urban,2020,Yes,94.04
H00178,Australia,Australia,Wind,157.05,2023,3,Low,Rural,2022,No,276.16
H02891,Australia,New Zealand,Geothermal,1074.61,2023,4,Middle,Urban,2022,Yes,452.43
H03674,Africa,Egypt,Geothermal,1015.24,2022,1,Middle,Rural,2010,Yes,303.53
H00081,North America,USA,Wind,165.64,2023,7,Middle,Rural,2018,Yes,148.68
H02562,Africa,Nigeria,Wind,71.81,2023,3,High,Rural,2014,Yes,308.49
H01724,Asia,Indonesia,Hydro,177.58,2024,2,Low,Rural,2021,No,366.25
H01618,South America,Colombia,Solar,737.57,2021,1,Middle,Urban,2014,Yes,79.69
H01655,Europe,France,Hydro,98.8,2024,4,Middle,Urban,2019,Yes,173.92
H02329,Australia,New Zealand,Biomass,152.93,2021,4,Low,Urban,2016,No,219.23
H04614,Africa,Egypt,Wind,488.04,2024,6,Low,Urban,2014,Yes,125.36
H00222,North America,Mexico,Hydro,607.36,2024,8,High,Urban,2020,Yes,70.41
H00094,Australia,New Zealand,Solar,834.37,2020,6,Low,Urban,2015,Yes,211.56
H02610,Africa,Kenya,Solar,781.9,2023,3,High,Rural,2023,Yes,419.91
H03383,Europe,UK,Biomass,1137.5,2021,6,Low,Rural,2011,Yes,203.5
H04416,Europe,France,Hydro,292.57,2021,5,High,Urban,2018,No,180.54
H01398,North America,USA,Hydro,201.79,2020,4,Middle,Rural,2011,No,437.74
H04687,Africa,South Africa,Geothermal,113.51,2020,1,Middle,Rural,2020,Yes,221.31
H01293,South America,Chile,Geothermal,117.02,2024,8,Middle,Rural,2010,No,499.12
H02165,North America,Canada,Geothermal,1204.8,2024,3,Middle,Urban,2013,No,339.92
H02940,North America,Mexico,Hydro,862.04,2021,1,Low,Urban,2012,No,370.63
H03669,Africa,South Africa,Hydro,663.16,2024,2,High,Rural,2023,Yes,301.93
H00813,South America,Argentina,Wind,844.42,2023,1,Middle,Urban,2017,No,440.91
H01259,Australia,Australia,Biomass,172.96,2021,3,High,Rural,2020,No,275.14
H00890,Europe,Italy,Solar,533.4,2020,1,Low,Rural,2015,No,344.13
H01452,Africa,Nigeria,Geothermal,131.5,2020,4,High,Urban,2010,No,493.71
H03317,South America,Argentina,Hydro,890.67,2024,7,Middle,Rural,2013,No,330.75
H02560,Africa,Egypt,Wind,690.66,2020,2,Middle,Rural,2014,Yes,42.35
H03575,South America,Peru,Wind,175.4,2020,2,Middle,Rural,2017,No,44.64
H02681,Europe,Italy,Geothermal,1027.49,2020,1,Low,Rural,2014,No,445.14
H04652,Australia,New Zealand,Geothermal,605.53,2022,6,Middle,Urban,2020,No,78.57
H04812,Europe,Italy,Geothermal,172.23,2023,5,High,Urban,2015,Yes,82.81
H04680,Africa,South Africa,Geothermal,224.11,2020,3,High,Rural,2011,No,417.05
H02965,North America,USA,Hydro,1244.82,2023,5,High,Rural,2013,Yes,54.72
H02673,South America,Colombia,Geothermal,1474.07,2023,7,Middle,Urban,2011,Yes,41.2
H00562,South America,Argentina,Wind,465.6,2021,5,Middle,Rural,2011,No,217.2
H02779,Africa,Egypt,Wind,593.32,2024,1,High,Urban,2015,Yes,123.65
H02949,Africa,South Africa,Solar,1005.19,2020,7,High,Rural,2017,No,214.47
H02818,South America,Peru,Wind,1208.87,2024,6,Middle,Rural,2011,No,200.8
H02759,Europe,Italy,Wind,697.22,2024,1,Middle,Rural,2017,Yes,358.26
H01757,South America,Peru,Geothermal,269.66,2021,4,Middle,Rural,2017,Yes,76.74
H00725,Asia,Japan,Geothermal,193.05,2024,5,High,Rural,2017,Yes,276.59
H00220,South America,Colombia,Geothermal,1092.98,2024,3,Middle,Rural,2021,No,52.92
H04140,Africa,Kenya,Solar,524.35,2020,7,Middle,Urban,2020,No,36.4
H03958,Australia,New Zealand,Wind,1285.58,2021,3,Middle,Rural,2010,No,138.95
H01589,Europe,Italy,Geothermal,652.56,2023,2,Low,Urban,2012,Yes,24.44
H03348,North America,Canada,Biomass,1103.59,2023,4,Low,Urban,2017,No,179.78
H03971,North America,Canada,Hydro,986.98,2023,6,Middle,Rural,2011,Yes,308.38
H04708,North America,Canada,Biomass,421.09,2024,2,High,Rural,2012,No,19.08
H00044,Australia,Australia,Biomass,866.97,2024,2,Middle,Rural,2015,Yes,341.45
H03002,Australia,New Zealand,Wind,315.99,2022,2,Middle,Urban,2010,Yes,406.22
H00211,Asia,Japan,Hydro,629.57,2024,2,High,Urban,2011,Yes,446.65
H00678,Australia,New Zealand,Hydro,1348.27,2022,3,Middle,Rural,2016,Yes,215.63
H00355,Asia,China,Hydro,104.57,2023,7,High,Rural,2011,No,490.62
H01434,South America,Peru,Geothermal,1055.72,2023,7,Low,Urban,2016,Yes,333.97
H00950,Asia,Japan,Solar,1048.01,2020,7,Low,Urban,2010,Yes,283.54
H02844,Asia,South Korea,Biomass,440.4,2021,3,Low,Urban,2014,No,254.25
H00578,Africa,Kenya,Biomass,403.06,2020,1,Middle,Urban,2019,Yes,149.33
H03929,Africa,South Africa,Geothermal,735.89,2022,8,High,Urban,2014,No,411.02
H00545,North America,USA,Hydro,1163.88,2020,8,Middle,Urban,2013,No,193.41
H00368,Europe,Spain,Geothermal,359.67,2023,8,Middle,Rural,2010,Yes,251.84
H01613,Africa,Ghana,Solar,790.8,2023,6,Middle,Rural,2013,Yes,346.91
H03551,Asia,Japan,Wind,1038.9,2021,3,Low,Urban,2020,Yes,158.21
H03717,South America,Peru,Geothermal,1272.03,2021,1,Middle,Urban,2011,No,119.72
H03780,North America,Canada,Biomass,1298.09,2020,1,High,Urban,2020,Yes,373.04
H00136,South America,Peru,Solar,581.6,2023,3,Low,Urban,2015,Yes,294.1
H04481,North America,Mexico,Wind,751.18,2022,6,High,Rural,2015,No,218.78
H01438,Africa,South Africa,Biomass,1278.07,2022,4,High,Urban,2015,No,117.22
H00048,Africa,South Africa,Wind,1418.55,2024,5,Middle,Rural,2024,Yes,437.89
H01361,Asia,Indonesia,Hydro,1330.02,2021,1,Low,Rural,2016,Yes,88.81
H00735,South America,Colombia,Biomass,699.03,2024,5,High,Urban,2022,Yes,285.64
H01535,Asia,Indonesia,Solar,1223.21,2024,2,Middle,Urban,2020,Yes,60.31
H02005,Asia,Japan,Geothermal,323.91,2024,8,Low,Rural,2016,No,357.88
H03796,South America,Chile,Biomass,462.22,2023,7,Low,Urban,2020,Yes,155.68
H02520,North America,Mexico,Solar,1245.13,2024,8,Middle,Urban,2018,Yes,211.33
H01973,North America,USA,Hydro,1420.57,2022,8,Middle,Urban,2019,No,217.81
H00997,South America,Brazil,Geothermal,1073.47,2023,8,High,Urban,2020,No,197.41
H00062,Australia,New Zealand,Biomass,828.24,2023,3,High,Urban,2010,Yes,146.18
H01109,South America,Argentina,Wind,1011.87,2020,2,Middle,Rural,2020,No,487.57
H02406,Europe,UK,Solar,1117.27,2022,6,Low,Urban,2017,Yes,222.88
H00096,North America,Canada,Geothermal,816.03,2021,6,Middle,Urban,2012,No,10.42
H00479,Australia,New Zealand,Wind,84.08,2020,8,High,Urban,2015,No,315.42
H04360,Asia,China,Wind,1388.72,2024,4,Low,Rural,2023,No,326.8
H04113,Africa,Egypt,Geothermal,1231.86,2024,4,High,Rural,2019,Yes,76.73
H03708,Australia,Australia,Wind,760.97,2022,5,Low,Urban,2012,Yes,152.83
H01102,North America,Canada,Solar,604.69,2021,7,Middle,Urban,2012,No,193.39
H02747,South America,Argentina,Wind,763.0,2024,8,Low,Rural,2019,No,364.29
H02171,Europe,Spain,Hydro,1346.02,2022,3,Low,Rural,2017,No,130.62
H00323,Africa,South Africa,Wind,453.84,2023,3,High,Urban,2023,Yes,308.23
H04255,South America,Chile,Biomass,1270.95,2024,2,Middle,Urban,2011,Yes,402.3
H03143,Africa,Ghana,Geothermal,117.05,2021,3,High,Urban,2011,No,39.22
H03538,North America,Canada,Solar,547.68,2021,5,Low,Rural,2021,No,50.21
H04926,North America,Canada,Biomass,874.22,2020,6,Middle,Rural,2012,Yes,476.56
H02925,Asia,Japan,Hydro,1195.66,2023,2,High,Rural,2013,No,72.41
H01150,Asia,China,Solar,678.92,2024,1,Middle,Rural,2011,No,486.72
H03618,Europe,Spain,Solar,513.7,2020,8,Low,Rural,2018,Yes,265.01
H00292,Europe,UK,Biomass,890.84,2022,8,Low,Urban,2021,No,390.01
H03750,Australia,Australia,Solar,1006.04,2023,7,Middle,Urban,2011,Yes,53.54
H03587,Europe,Italy,Solar,1366.09,2022,1,Low,Rural,2017,Yes,216.0
H00534,Asia,Indonesia,Biomass,235.76,2022,7,High,Rural,2016,No,470.15
H03608,South America,Colombia,Wind,179.94,2020,4,Low,Rural,2014,Yes,343.95
H02649,Australia,New Zealand,Hydro,182.98,2020,6,High,Urban,2020,No,183.38
H04811,North America,USA,Biomass,590.49,2024,3,Low,Urban,2011,Yes,233.34
H01984,Africa,Ghana,Biomass,74.98,2022,7,High,Rural,2022,Yes,107.47
H02933,Asia,Japan,Solar,1470.86,2021,3,Middle,Urban,2013,No,381.53
H01537,Asia,China,Wind,1418.63,2024,6,High,Rural,2022,No,455.67
H04535,Asia,South Korea,Hydro,593.89,2021,1,Middle,Urban,2021,No,187.31
H04173,Africa,Egypt,Biomass,930.84,2020,8,Middle,Rural,2010,Yes,453.29
H03361,South America,Chile,Geothermal,588.4,2023,6,High,Rural,2015,No,406.04
H03666,Asia,Indonesia,Wind,1180.33,2022,4,High,Rural,2022,No,310.88
H04006,Africa,South Africa,Hydro,1103.77,2022,4,Middle,Rural,2011,No,187.19
H03627,Australia,New Zealand,Geothermal,680.31,2021,1,High,Urban,2020,No,34.38
H00587,Asia,South Korea,Solar,295.83,2021,3,Middle,Rural,2019,No,110.96
H03257,Europe,Spain,Hydro,1062.6,2022,2,Low,Urban,2021,Yes,182.46
H02299,South America,Brazil,Hydro,747.89,2020,7,Middle,Rural,2020,No,301.39
H03989,Asia,India,Biomass,501.65,2020,6,Low,Rural,2015,No,380.43
H00585,Australia,Australia,Wind,1071.4,2021,5,Middle,Rural,2012,Yes,143.65
H02424,North America,Mexico,Hydro,1070.04,2021,8,Middle,Rural,2015,No,123.95
H01392,Europe,Italy,Biomass,587.24,2024,1,Middle,Urban,2018,Yes,455.0
H04526,Australia,Australia,Solar,485.47,2024,6,Middle,Urban,2018,Yes,448.91
H04921,Europe,Italy,Wind,1467.24,2020,3,Middle,Rural,2017,No,255.67
H04801,North America,USA,Wind,341.39,2024,1,Middle,Rural,2022,Yes,233.36
H03241,Australia,New Zealand,Geothermal,700.38,2020,2,Low,Rural,2013,No,455.18
H04282,Africa,Egypt,Solar,1424.33,2023,3,Middle,Rural,2010,Yes,188.91
H03339,Africa,Egypt,Solar,1205.43,2020,8,Middle,Rural,2016,Yes,199.63
H03221,North America,Mexico,Solar,1451.98,2020,7,High,Urban,2015,Yes,23.49
H02112,Africa,Nigeria,Wind,1348.63,2020,7,Middle,Urban,2013,Yes,414.49
H01175,Europe,France,Geothermal,217.54,2023,7,High,Urban,2023,Yes,193.74
H04863,Europe,Italy,Hydro,1257.87,2021,3,Middle,Rural,2010,No,134.0
H03812,Europe,France,Geothermal,1291.8,2021,4,High,Urban,2014,No,232.0
H01868,North America,Canada,Hydro,1362.75,2020,1,Middle,Rural,2010,No,20.6
H02615,South America,Brazil,Biomass,1059.04,2020,1,Low,Rural,2015,No,149.2
H03867,Africa,Ghana,Geothermal,406.77,2024,4,High,Urban,2017,Yes,497.23
H04886,Asia,India,Wind,1440.55,2020,3,Low,Rural,2020,Yes,74.45
H03779,Asia,South Korea,Biomass,957.54,2022,4,High,Urban,2011,Yes,72.2
H03847,South America,Colombia,Biomass,859.13,2024,1,Low,Urban,2010,No,475.8
H02417,Australia,New Zealand,Biomass,503.95,2020,2,High,Urban,2013,Yes,425.48
H00071,Australia,New Zealand,Hydro,123.89,2022,7,Low,Urban,2020,No,123.3
H04881,Africa,Kenya,Geothermal,157.72,2022,2,Middle,Rural,2018,No,94.06
H01127,Europe,France,Solar,620.77,2024,5,Low,Rural,2018,Yes,22.1
H04025,North America,Mexico,Hydro,1450.08,2020,2,High,Rural,2017,No,426.76
H03251,North America,Mexico,Solar,318.83,2021,3,High,Urban,2011,No,298.1
H03902,Europe,Italy,Geothermal,1101.28,2023,5,Middle,Rural,2013,No,210.79
H01096,Australia,Australia,Hydro,890.76,2024,6,Middle,Urban,2010,Yes,401.62
H04546,South America,Colombia,Solar,387.85,2022,1,Low,Rural,2010,Yes,438.15
H01213,Asia,South Korea,Hydro,564.13,2023,6,Low,Rural,2022,No,426.43
H03922,North America,Mexico,Biomass,1089.87,2022,4,Low,Rural,2017,No,64.57
H01426,Australia,New Zealand,Geothermal,1120.88,2022,1,Middle,Rural,2010,Yes,271.37
H03067,North America,Canada,Wind,417.09,2020,6,Middle,Urban,2020,Yes,113.89
H04520,Africa,Nigeria,Biomass,1353.78,2024,3,Middle,Rural,2012,Yes,425.42
H02101,South America,Peru,Solar,856.01,2023,7,Low,Urban,2019,No,318.42
H00808,South America,Peru,Geothermal,74.28,2020,3,Middle,Urban,2017,Yes,110.91
H04744,Europe,UK,Solar,337.6,2023,4,Middle,Rural,2021,No,430.84
H03751,Asia,Japan,Wind,1117.06,2024,7,High,Rural,2021,Yes,391.96
H01363,Africa,Egypt,Solar,129.11,2021,6,Low,Urban,2011,Yes,137.67
H02318,South America,Chile,Wind,1127.73,2020,6,Middle,Urban,2018,No,32.5
H04582,Europe,France,Solar,434.41,2022,6,High,Urban,2020,No,444.85
H04742,North America,Canada,Wind,426.61,2021,2,Middle,Urban,2013,Yes,288.28
H01026,Africa,South Africa,Biomass,710.6,2020,4,Middle,Urban,2011,No,479.49
H03110,Europe,UK,Hydro,807.67,2024,4,Low,Urban,2012,Yes,14.95
H02111,North America,Mexico,Biomass,422.5,2020,4,Low,Urban,2013,No,133.29
H01042,North America,Canada,Solar,901.24,2023,5,Low,Urban,2017,Yes,86.59
H01877,South America,Argentina,Wind,996.1,2023,5,Low,Urban,2019,Yes,250.08
H00882,Europe,UK,Hydro,222.72,2024,8,Middle,Urban,2015,Yes,143.52
H04300,Australia,Australia,Biomass,739.01,2020,3,Middle,Urban,2012,No,277.47
H01193,Australia,Australia,Hydro,1488.63,2023,1,High,Urban,2013,No,95.7
H04588,Europe,Italy,Hydro,830.14,2020,3,High,Rural,2018,Yes,218.31
H04511,North America,Mexico,Hydro,1360.91,2023,3,Low,Rural,2013,No,139.13
H03671,South America,Argentina,Solar,1026.22,2021,7,Middle,Urban,2021,No,108.14
H00625,Asia,South Korea,Solar,689.33,2020,5,High,Urban,2010,No,341.7
H02797,South America,Peru,Wind,50.74,2021,8,Low,Rural,2017,No,241.45
H04292,North America,USA,Solar,181.45,2023,3,Low,Rural,2017,Yes,464.75
H04969,North America,Mexico,Wind,389.26,2023,5,Middle,Rural,2013,Yes,358.02
H00234,Asia,China,Wind,339.68,2024,8,High,Rural,2023,Yes,180.62
H04567,North America,USA,Solar,299.22,2022,2,Low,Urban,2011,No,287.11
H01663,North America,Mexico,Biomass,711.71,2022,1,Low,Rural,2016,Yes,141.3
H00416,Australia,New Zealand,Solar,258.85,2023,3,High,Urban,2023,No,149.83
H04247,Europe,Spain,Biomass,959.31,2024,1,Low,Rural,2013,No,422.9
H02174,Europe,Italy,Geothermal,362.18,2023,4,Low,Urban,2021,Yes,22.6
H01457,Africa,Kenya,Wind,1022.51,2022,2,Middle,Urban,2021,Yes,218.84
H00747,Africa,Egypt,Wind,1087.66,2023,1,Middle,Urban,2021,No,466.9
H00018,Asia,India,Wind,1383.67,2024,3,Middle,Urban,2016,Yes,372.48
H01201,Asia,Indonesia,Wind,916.77,2020,3,Middle,Rural,2014,Yes,94.99
H01700,North America,Mexico,Solar,794.06,2020,3,Middle,Urban,2017,Yes,493.51
H03254,Africa,Nigeria,Wind,1101.17,2022,3,High,Urban,2016,Yes,280.71
H00597,South America,Argentina,Wind,1395.91,2021,6,High,Urban,2018,Yes,66.07
H03227,Asia,Japan,Wind,668.76,2023,2,Middle,Urban,2011,Yes,316.27
H04406,Australia,Australia,Wind,1222.03,2021,8,High,Rural,2021,No,311.59
H04720,Europe,UK,Solar,1290.07,2021,8,High,Urban,2015,Yes,249.95
H01506,Europe,Italy,Wind,848.94,2022,4,Middle,Urban,2021,No,178.62
H01413,Australia,Australia,Wind,343.39,2024,7,Low,Urban,2015,No,331.3
H01966,North America,USA,Geothermal,660.1,2024,2,Low,Urban,2021,Yes,320.43
H00372,Australia,New Zealand,Hydro,1135.58,2023,6,Low,Urban,2013,Yes,72.36
H01341,Asia,China,Geothermal,784.31,2024,2,High,Rural,2015,Yes,305.0
H00599,Australia,New Zealand,Geothermal,1177.81,2020,5,High,Rural,2016,No,379.73
H00239,Europe,UK,Wind,1235.84,2024,7,Low,Rural,2013,Yes,329.12
H03401,North America,Mexico,Solar,927.41,2022,1,Low,Urban,2017,No,67.35
H02068,South America,Peru,Geothermal,1042.19,2024,3,Low,Urban,2021,No,260.05
H00811,Africa,Kenya,Wind,874.6,2021,8,Middle,Urban,2014,No,492.11
H01095,Australia,New Zealand,Hydro,971.34,2020,8,Middle,Rural,2020,Yes,426.38
H04325,South America,Argentina,Solar,1185.11,2020,3,Middle,Rural,2017,No,209.73
H04761,Asia,India,Geothermal,1484.63,2022,6,Low,Urban,2022,Yes,180.59
H03677,Africa,Ghana,Wind,1356.99,2023,4,Middle,Urban,2015,Yes,457.52
H03465,South America,Peru,Biomass,1237.05,2020,4,High,Urban,2015,Yes,317.21
H03104,South America,Chile,Wind,110.45,2020,1,High,Urban,2015,No,24.58
H02750,Australia,New Zealand,Geothermal,517.72,2020,8,Middle,Urban,2012,No,357.91
